ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
16146,WK018900  ,5.9
16156,WK018901  ,7.3
16162,WK018902  ,9.8
16165,WK018903  ,5.2
16170,WK018904  ,5.6
16176,WK018905  ,5.1
17020,WK019310  ,2.6
17024,WK019311  ,1.9
17034,WK019312  ,1.1
17037,WK019313  ,2.4
17045,WK019314  ,3.8
17048,WK019320  ,5.5
17052,WK019321  ,6.4
17058,WK019322  ,6.4
17068,WK019330  ,3.8
17073,WK019331  ,3.4
17078,WK019332  ,4.5
17082,WK019340  ,2.7
17089,WK019341  ,4.8
17093,WK019350  ,5
17103,WK019351  ,5
17111,WK019352  ,8.3
91,WK019701  ,13.3
104,WK019702  ,8.4
109,WK019703  ,11.9
117,WK019704  ,17.7
1500,WK020001  ,4.6
1503,WK020002  ,4.2
1511,WK020003  ,1.9
1523,WK020004  ,3.2
1533,WK020005  ,5.5
1542,WK020006  ,7.2
1551,WK020007  ,7.5
1561,WK020008  ,6.4
1571,WK020010  ,13.6
1576,WK020011  ,9.1
1581,WK020012  ,9.8
1586,WK020013  ,9.7
1590,WK020014  ,4.1
1595,WK020015  ,5.1
1599,WK020016  ,8.6
1604,WK020017  ,10
1620,WK020201  ,2.7
1627,WK020202  ,2.7
1631,WK020203  ,3.6
1638,WK020204  ,3.1
1642,WK020205  ,2.2
1647,WK020206  ,1.6
1651,WK020207  ,2.1
1656,WK020208  ,2.9
1663,WK020209  ,1.1
1666,WK020210  ,2.7
1668,WK020211  ,2.4
1672,WK020212  ,2.4
1679,WK020213  ,5.2
1684,WK020214  ,3.2
1688,WK020215  ,4.2
1691,WK020216  ,3.2
1694,WK020217  ,3.5
1698,WK020218  ,3.3
1705,WK020219  ,1.8
1709,WK020220  ,1.9
1711,WK020221  ,2.8
1715,WK020222  ,2.1
1718,WK020223  ,1.3
1723,WK020224  ,4.1
1989,WK020354  ,1.8
2008,WK020355  ,6.9
2021,WK020356  ,6.7
2025,WK020357  ,8.3
2028,WK020358  ,7.6
2032,WK020359  ,10.3
2035,WK020360  ,6.3
2038,WK020361  ,5.4
2041,WK020362  ,14.5
2044,WK020363  ,6
2475,WK020901  ,8
2502,WK020902  ,9.8
2512,WK020903  ,5.9
2518,WK020904  ,7
3053,WK021301  ,9.2
3057,WK021302  ,9.5
3059,WK021303  ,6.5
3078,WK021304  ,4.9
3082,WK021305  ,7.9
3086,WK021306  ,7.4
3174,WK021400  ,7.5
3184,WK021401  ,5.9
3188,WK021402  ,4.4
3196,WK021403  ,10.3
3203,WK021404  ,9.1
3208,WK021405  ,10.1
3216,WK021406  ,8.8
3471,WK021600  ,1.8
3917,WK022101  ,1.3
3930,WK022201  ,1.3
3937,WK022202  ,2.2
3946,WK022203  ,1.6
3950,WK022204  ,2.1
3959,WK022205  ,1.3
3964,WK022206  ,3.5
3974,WK022207  ,3.7
3988,WK022208  ,1.9
3993,WK022209  ,0.9
4005,WK022211  ,5.1
4013,WK022231  ,7.2
4288,WK022500  ,1.5
4295,WK022501  ,2.7
4298,WK022502  ,2.4
4302,WK022503  ,4.4
4306,WK022504  ,5.5
4311,WK022601  ,
4313,WK022602  ,5
4315,WK022603  ,4.9
4324,WK022604  ,6
4327,WK022605  ,4.7
4329,WK022606  ,7.8
4439,WK022801  ,4.1
4445,WK022802  ,3.1
4452,WK022803  ,3.2
4459,WK022804  ,5.1
4463,WK022805  ,4.1
4465,WK022810  ,1.7
4470,WK022811  ,1.3
4474,WK022812  ,1.2
4479,WK022813  ,3.9
4486,WK022820  ,6.4
4490,WK022830  ,3.6
4497,WK022840  ,5.9
4506,WK022850  ,6.1
4509,WK022860  ,4.3
4512,WK022870  ,11.8
4517,WK022880  ,9.7
4521,WK022890  ,13.1
4749,WK023001  ,15.2
4758,WK023002  ,11.4
4764,WK023003  ,15.7
4973,WK023200  ,1.5
4987,WK023201  ,4.8
4990,WK023202  ,8.3
5003,WK023203  ,5.3
5007,WK023300  ,5.1
5018,WK023301  ,9.1
6448,WK024301  ,1.2
6451,WK024302  ,2.1
6456,WK024303  ,1.8
6459,WK024304  ,1.2
6462,WK024305  ,2.3
6467,WK024306  ,1.3
6470,WK024307  ,1
6473,WK024308  ,1.2
6482,WK024309  ,1.8
6485,WK024310  ,2.4
6492,WK024311  ,3.2
6497,WK024312  ,3.1
6510,WK024313  ,3.1
6514,WK024314  ,3.6
6518,WK024315  ,5.7
6525,WK024316  ,
6550,WK024400  ,7.5
6559,WK024401  ,8
6631,WK024600  ,3.6
6642,WK024601  ,2.6
7320,WK025200  ,5.6
7331,WK025201  ,9
9278,WK026200  ,1.4
9286,WK026201  ,3.8
9292,WK026202  ,7.2
9300,WK026203  ,4.5
9305,WK026204  ,7.3
9313,WK026205  ,10.6
9421,WK026300  ,8.7
9431,WK026301  ,9.2
9437,WK026302  ,6.6
9441,WK026303  ,12.1
9445,WK026304  ,6.6
10418,WK026701  ,1.4
10437,WK026702  ,5
10442,WK026703  ,2.7
10446,WK026704  ,4.8
10449,WK026705  ,5.4
10457,WK026801  ,2.9
10460,WK026802  ,2.5
10469,WK026803  ,3.5
10472,WK026804  ,2.6
10477,WK026805  ,1.5
10483,WK026806  ,1.7
10488,WK026807  ,3.3
10498,WK026808  ,4.8
