ID,WijkenEnBuurten,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15
14405,WK071510  ,12.7,12.7
14407,WK071511  ,10.3,10.3
14409,WK071512  ,11.4,11.4
14411,WK071513  ,12.3,12.3
14413,WK071514  ,8.3,8.3
14415,WK071515  ,5.8,5.8
14417,WK071516  ,5.3,5.3
14419,WK071517  ,1.8,1.8
14421,WK071518  ,1.8,1.8
14423,WK071519  ,3.2,3.2
14425,WK071520  ,4.6,4.6
14427,WK071521  ,3.6,3.6
14433,WK071522  ,3.6,3.6
14438,WK071523  ,1.7,1.7
14444,WK071524  ,3.8,3.8
14446,WK071525  ,10.9,10.9
14448,WK071526  ,10.6,10.6
14450,WK071527  ,4.4,4.4
14452,WK071528  ,6.2,6.2
14454,WK071529  ,10.4,10.4
14456,WK071530  ,11.8,11.8
14459,WK009300  ,35,60.2
14462,WK009301  ,40.1,65.3
14466,WK009302  ,41.8,67
14470,WK009303  ,43.1,68.3
14473,WK009304  ,44.3,69.5
14477,WK009305  ,47,72.2
14482,WK044800  ,2.7,15.7
14492,WK044801  ,8.2,25.6
14498,WK152501  ,4.5,7.1
14503,WK152502  ,3.6,7.6
14509,WK152503  ,3.8,8.2
14514,WK152504  ,2.6,9.3
14520,WK152511  ,1.9,7.6
14525,WK152512  ,1.4,8.6
14534,WK152513  ,2.6,6.3
14539,WK152514  ,0.8,8.7
14548,WK152515  ,3,7.2
14552,WK152521  ,4.1,4.1
14557,WK152522  ,4.4,5.9
14561,WK071600  ,1,11.4
14564,WK071601  ,6.7,16.7
14567,WK071602  ,9.4,19.4
14570,WK071603  ,11.7,21.7
14573,WK071604  ,18.1,28.2
14576,WK071605  ,12.9,23
14579,WK071606  ,5.1,15.1
14582,WK071607  ,13.2,23.3
14587,WK028100  ,2.3,2.3
14599,WK028101  ,1.4,1.4
14608,WK028102  ,4.2,4.2
14613,WK028103  ,3.8,3.8
14622,WK085510  ,3.1,3.1
14627,WK085511  ,2.9,2.9
14633,WK085512  ,3,3
14637,WK085513  ,2.4,2.4
14640,WK085514  ,2.1,2.1
14646,WK085515  ,1.9,1.9
14652,WK085516  ,2.7,2.7
14657,WK085517  ,3.5,3.5
14665,WK085518  ,3.1,3.1
14668,WK085519  ,3.3,3.3
14671,WK085520  ,2.7,2.7
14675,WK085521  ,2.6,2.6
14679,WK085522  ,2,2
14682,WK085523  ,1.3,1.3
14688,WK085524  ,1.9,1.9
14692,WK085525  ,2.4,2.4
14697,WK085526  ,3.4,3.4
14703,WK085527  ,2.7,2.7
14707,WK085528  ,2.5,2.5
14710,WK085529  ,2.7,2.7
14718,WK085530  ,3.6,3.6
14720,WK085531  ,1.5,1.5
14725,WK085532  ,1.4,1.4
14735,WK085533  ,3.8,3.8
14739,WK085534  ,3.9,3.9
14742,WK085535  ,4.6,4.6
14747,WK085536  ,3.4,3.4
14751,WK085537  ,2.7,2.7
14759,WK085538  ,1.3,1.3
14774,WK085539  ,2.3,2.3
14780,WK085540  ,2.6,2.6
14784,WK085541  ,3.8,3.8
14786,WK085542  ,2.4,2.4
14794,WK085543  ,2.8,2.8
14803,WK085544  ,3.5,3.5
14810,WK085545  ,3.8,3.8
14813,WK085546  ,4.4,4.4
14815,WK085547  ,4.3,4.3
14820,WK085548  ,4.6,4.6
14825,WK085549  ,5.9,5.9
14829,WK085550  ,5.3,5.3
14831,WK085551  ,5.5,5.5
14834,WK085552  ,6.5,6.5
14837,WK085553  ,6.3,6.3
14842,WK085554  ,7.1,7.1
14850,WK085555  ,7.4,7.4
14854,WK085556  ,7.5,7.5
14858,WK085557  ,7.2,7.2
14864,WK085558  ,5.4,5.4
14868,WK085559  ,2,2
14874,WK085560  ,3,3
14882,WK085561  ,5.8,5.8
14886,WK085562  ,2.8,2.8
14888,WK085563  ,6.3,6.3
14893,WK085564  ,4.7,4.7
14897,WK085565  ,7.6,7.6
14899,WK085566  ,4.9,7.1
14920,WK085567  ,5.7,8.6
14931,WK085568  ,6.9,11.9
14936,WK018300  ,14.4,14.9
14940,WK018301  ,11.2,11.2
14943,WK018302  ,8.8,8.8
14947,WK018303  ,10.8,13.4
14950,WK018304  ,9.2,15.7
14953,WK018305  ,17.6,19.4
14958,WK018306  ,12.8,17.5
14962,WK018307  ,13.4,14.7
14966,WK170001  ,6.3,10.4
14975,WK170002  ,1.2,15.3
14981,WK170003  ,9.6,17
14986,WK170004  ,5,14.5
14993,WK170005  ,5.9,13.2
14997,WK170006  ,8.1,9.4
15000,WK173000  ,13.6,16.5
15004,WK173001  ,12.2,18.5
15007,WK173002  ,11.6,18.4
15010,WK173003  ,10.7,14
15013,WK173004  ,13.5,15.4
15018,WK173005  ,15.2,17.4
15021,WK173006  ,6.6,6.6
15024,WK173007  ,8,8
15028,WK173008  ,3.4,3.4
15032,WK173009  ,8.4,10.6
15035,WK173010  ,11.7,13.4
15038,WK173011  ,11.1,11.1
15043,WK173012  ,10.2,11.4
15048,WK173013  ,11.2,12.9
15051,WK173014  ,10.7,11.2
15058,WK173015  ,5.9,8.6
15062,WK073700  ,16.6,16.6
15065,WK073701  ,13.1,13.1
15071,WK073702  ,11.9,11.9
15076,WK073703  ,11.3,11.3
15079,WK073704  ,11.9,11.9
15084,WK073705  ,13.9,13.9
15089,WK073706  ,13.6,13.6
15092,WK073707  ,13.5,13.5
15097,WK073708  ,16.7,16.7
15100,WK073709  ,12.6,12.6
15104,WK045000  ,6.3,7.9
15112,WK045115  ,2.5,9.5
15114,WK045125  ,1.8,9
15116,WK045135  ,2.3,7.9
15118,WK045145  ,1.5,8.4
15120,WK045150  ,1.7,10.2
15122,WK045155  ,1.5,9.4
15124,WK045165  ,2.3,9.8
15126,WK045175  ,3.2,8.9
15128,WK045185  ,2.4,10.5
15130,WK045190  ,5.2,12.8
15132,WK045195  ,6.8,14.4
15135,WK018400  ,10.3,31.1
15148,WK034401  ,4,4
15160,WK034402  ,3.3,4.5
15174,WK034403  ,1.6,5.8
15185,WK034404  ,2.3,3.4
15197,WK034405  ,1.1,1.1
15211,WK034406  ,2.2,2.2
15223,WK034407  ,3.1,3.1
15232,WK034408  ,3.4,3.4
15240,WK034409  ,2.5,2.5
15256,WK034410  ,5.2,5.2
15270,WK158100  ,1.5,9.6
15279,WK158101  ,5.4,5.7
15290,WK158102  ,6.1,16.1
15297,WK158103  ,7.9,14.6
15302,WK158104  ,5.6,11.2
15309,WK098100  ,12.5,12.5
15318,WK098101  ,14.8,14.8
15321,WK099400  ,8.3,11
15331,WK099401  ,6,8.8
15337,WK099402  ,9.8,9.9
15345,WK099403  ,8,9.7
15349,WK099404  ,4.7,7.5
15357,WK099405  ,9.8,9.8
15360,WK085800  ,8,8.4
15370,WK085801  ,7.6,7.6
15378,WK085802  ,14.7,14.7
15384,WK004700  ,1.5,14.5
15393,WK004701  ,3.3,13.3
15398,WK004702  ,3.5,11.7
15405,WK034500  ,1.5,8.3
15410,WK034501  ,2.9,7.3
15419,WK034502  ,1.4,9.7
15429,WK034503  ,0.9,10
15433,WK034504  ,2.2,8.2
15440,WK034505  ,2.4,10.1
15450,WK071700  ,7.4,14.7
15455,WK071701  ,7.4,14.6
15458,WK071702  ,10.3,17.4
15462,WK071703  ,6.8,13.9
15465,WK071704  ,12.9,15.5
15468,WK071705  ,10.6,15.2
15474,WK071706  ,11.1,13.3
15477,WK071707  ,6.4,10.8
15480,WK071708  ,9.2,9.8
15483,WK071709  ,4,4
15488,WK071710  ,7,7.2
15493,WK071711  ,9.3,9.3
15497,WK071712  ,14.3,14.3
15502,WK086100  ,2.4,2.4
15511,WK086101  ,4.1,4.1
15516,WK086102  ,4.9,4.9
15523,WK045300  ,3.4,3.8
15530,WK045301  ,3.7,4.7
15538,WK045302  ,3.6,4.6
15546,WK045303  ,5.1,6.1
15551,WK045304  ,5.5,6.6
15559,WK045305  ,0.5,1.1
15568,WK045306  ,1.8,1.8
15578,WK045307  ,2.4,2.4
15583,WK045308  ,2.3,2.3
15593,WK045309  ,5.1,5.1
15597,WK098311  ,2.4,2.7
15602,WK098312  ,1.3,1.5
15613,WK098313  ,3.1,3.4
15622,WK098314  ,3.5,3.8
15628,WK098315  ,3.6,3.7
15641,WK098316  ,4.9,5.2
15649,WK098321  ,2.6,3.2
15652,WK098322  ,3.1,3.6
15656,WK098323  ,3.3,3.8
15661,WK098324  ,4,4.3
15666,WK098325  ,4.3,4.8
15669,WK098326  ,3.9,3.9
15673,WK098327  ,5.3,5.7
15676,WK098328  ,3.8,4.7
15689,WK098331  ,2.8,2.8
15695,WK098332  ,4.1,4.1
15703,WK098335  ,4.1,4.1
15706,WK098341  ,7.6,7.9
15714,WK098343  ,11.1,11.6
15718,WK098344  ,12.1,15.5
15723,WK098351  ,4.6,7.1
15733,WK098401  ,3.5,3.5
15735,WK098402  ,7.5,7.6
15737,WK098403  ,2.7,2.7
15739,WK098404  ,8.2,8.2
15741,WK098405  ,6.4,6.4
15743,WK098406  ,4.8,4.8
15745,WK098407  ,6.8,6.9
15747,WK098408  ,5.5,8.1
15749,WK098409  ,6.6,6.7
15751,WK098410  ,3.5,3.5
15753,WK098411  ,1.5,1.5
15755,WK098412  ,2.1,2.1
15759,WK098413  ,1.2,1.2
15763,WK098414  ,0.8,0.8
15765,WK098415  ,1.7,1.7
15768,WK098416  ,3.3,3.3
15771,WK098417  ,3.1,3.1
15776,WK098418  ,2.3,2.3
15778,WK098419  ,1.8,1.8
