ID,WijkenEnBuurten,AantalInwoners_5,,
11632,WK017501,4530,,
11672,WK017502,390,,
11684,WK017503,1690,,
11704,WK017504,1250,,
11720,WK017506,1080,,
11744,WK017700,8510,,
11784,WK017701,10440,,
11824,WK017702,3720,,
11836,WK017703,2340,,
11852,WK017704,1270,,
11872,WK017705,1470,,
11892,WK017706,1150,,
11904,WK017708,6840,,
11940,WK017709,560,,
11952,WK017710,600,,
11972,WK018000,8580,,
12008,WK018001,2990,,
12024,WK018002,400,,
12044,WK018003,1280,,
12068,WK018004,1360,,
12088,WK018005,990,,
12096,WK018006,340,,
12104,WK018007,70,,
12116,WK018300,6180,,
12132,WK018301,3560,,
12144,WK018302,1900,,
12160,WK018303,4310,,
12172,WK018304,1290,,
12184,WK018305,1480,,
12204,WK018306,1360,,
12220,WK018307,910,,
12236,WK018400,18060,,
12288,WK018900,12790,,
12328,WK018901,1390,,
12352,WK018902,980,,
12364,WK018903,5570,,
12384,WK018904,1520,,
12408,WK018905,1220,,
12428,WK019310,2930,,
12444,WK019311,9390,,
12484,WK019312,6180,,
12496,WK019313,12260,,
12528,WK019314,2740,,
12540,WK019320,390,,
12556,WK019321,5140,,
12576,WK019322,18260,,
12616,WK019330,9210,,
12636,WK019331,13150,,
12656,WK019332,1030,,
12672,WK019340,4290,,
12700,WK019341,1090,,
12716,WK019350,15520,,
12756,WK019351,15270,,
12784,WK019352,860,,
12800,WK019600,8530,,
12860,WK019601,2460,,
12884,WK019701,4070,,
12932,WK019702,1980,,
12952,WK019703,12900,,
12976,WK019704,8500,,
13000,WK020001,6080,,
13012,WK020002,21460,,
13044,WK020003,14460,,
13096,WK020004,18080,,
13136,WK020005,27160,,
13172,WK020006,18360,,
13208,WK020007,18460,,
13244,WK020008,12540,,
13288,WK020010,2920,,
13308,WK020011,370,,
13328,WK020012,1690,,
13348,WK020013,3160,,
13364,WK020014,4320,,
13384,WK020015,1250,,
13400,WK020016,1880,,
13420,WK020017,3170,,
13452,WK020201,4670,,
13492,WK020202,5600,,
13520,WK020203,6120,,
13552,WK020204,8570,,
13568,WK020205,6450,,
13588,WK020206,4610,,
13608,WK020207,6870,,
13640,WK020208,8570,,
13684,WK020209,4060,,
13708,WK020210,4140,,
13716,WK020211,3440,,
13732,WK020212,7470,,
13776,WK020213,1800,,
13808,WK020214,3990,,
13836,WK020215,1270,,
13848,WK020216,4060,,
13860,WK020217,5340,,
13872,WK020218,7320,,
13908,WK020219,8340,,
13940,WK020220,2050,,
13948,WK020221,9460,,
13964,WK020222,12770,,
13976,WK020223,13250,,
14004,WK020224,5370,,
14024,WK020354,29830,,
14100,WK020355,9980,,
14152,WK020356,4900,,
14168,WK020357,2010,,
14180,WK020358,1480,,
14196,WK020359,1560,,
14208,WK020360,1250,,
14220,WK020361,640,,
14232,WK020362,280,,
14244,WK020363,130,,
14256,WK020901,17380,,
14352,WK020902,3450,,
14384,WK020903,2440,,
14408,WK020904,2040,,
14436,WK021301,700,,
14452,WK021302,370,,
14460,WK021303,8470,,
14536,WK021304,700,,
14552,WK021305,850,,
14568,WK021306,10070,,
14620,WK021400,3450,,
14660,WK021401,3770,,
14676,WK021402,3050,,
14708,WK021403,6250,,
14736,WK021404,2100,,
14756,WK021405,6510,,
14788,WK021406,530,,
14808,WK021600,27410,,
14848,WK022101,11500,,
14900,WK022201,3670,,
14928,WK022202,6850,,
14964,WK022203,2820,,
14980,WK022204,3490,,
15016,WK022205,380,,
15036,WK022206,10970,,
15076,WK022207,7590,,
15132,WK022208,640,,
15152,WK022209,7270,,
15200,WK022211,5590,,
15232,WK022231,6880,,
15280,WK022501,18100,,
15340,WK022600,25510,,
15448,WK022801,9140,,
15480,WK022802,12880,,
15504,WK022803,15900,,
15536,WK022804,3610,,
15568,WK022810,7530,,
15596,WK022811,7400,,
15612,WK022812,8780,,
15632,WK022813,200,,
15668,WK022820,2420,,
15696,WK022830,14800,,
15740,WK022840,12710,,
15808,WK022850,3260,,
15832,WK022860,570,,
15852,WK022870,3480,,
15888,WK022880,2460,,
15920,WK022890,2470,,
15972,WK023001,11740,,
16008,WK023002,6270,,
16032,WK023003,4100,,
16056,WK023200,14930,,
16088,WK023201,4920,,
16112,WK023202,12660,,
16148,WK023203,440,,
16172,WK023300,25530,,
16216,WK023301,780,,
16248,WK023600,14180,,
16280,WK023601,3940,,
16316,WK023602,4860,,
16344,WK023603,3310,,
16368,WK024100,15140,,
16424,WK024101,3840,,
16448,WK024301,2320,,
16464,WK024302,80,,
16492,WK024303,2370,,
16508,WK024304,1410,,
16524,WK024305,5840,,
16556,WK024306,540,,
16576,WK024307,240,,
16600,WK024308,7950,,
16640,WK024309,1360,,
16656,WK024310,6660,,
16688,WK024311,3620,,
16728,WK024312,7320,,
16828,WK024313,60,,
16860,WK024314,660,,
16888,WK024315,1330,,
16924,WK024316,1350,,
16956,WK024400,10870,,
16992,WK024401,830,,
17008,WK024600,12320,,
17052,WK024601,6000,,
17080,WK025200,13310,,
17124,WK025201,3310,,
17168,WK026200,12520,,
17200,WK026201,1300,,
